336c	褐	26・16・2456
336d	轄	26・16・346
336e	且	56・456・3
336f	鰹	456・1246・12346
3370	叶	456・346・245
3371	椛	26・356・126
3372	樺	56・356・126
3373	鞄	256・234・3
3374	株	6・1456・16
3375	兜	235・46・2345・1236
3376	竃	46・14・13
3377	蒲	56・2346・146
3378	釜	46・13456・16
3379	鎌	235・456・1245・16
337a	噛	26・234・245
337b	鴨	235・46・24・2345
337c	栢	256・136・23456
337d	茅	46・45・146
337e	萱	456・1246・146
3421	粥	256・1456・246
3422	刈	46・2・16
3423	苅	46・2・12456
3424	瓦	56・2・1346
3425	乾	456・16・3
3426	侃	6・16・123
3427	冠	456・16・13456
3428	寒	6・16・156
3429	刊	456・16・125
342a	勘	456・16・1235
342b	勧	456・16・1456
342c	巻	456・16・1356
342d	喚	456・16・245
342e	堪	6・16・135
342f	姦	456・356・24
3430	完	456・16・14
3431	官	6・16・14
3432	寛	456・356・14
3433	干	456・16・2346
3434	幹	456・16・12356
3435	患	6・16・3
3436	感	456・16・246
3437	慣	456・16・13
3438	憾	6・16・125
3439	換	456・16・16
343a	敢	456・16・234
343b	柑	456・356・126
343c	桓	456・16・23456
343d	棺	6・16・126
343e	款	6・16・1246
343f	歓	456・16・1246
3440	汗	6・16・12456
3441	漢	456・16・156
3442	澗	6・16・1456
3443	潅	456・356・156
3444	環	456・16・24
3445	甘	456・356・1
3446	監	456・16・15
3447	看	6・16・13
3448	竿	456・356・135
3449	管	456・16・146
344a	簡	456・16・135
344b	緩	456・16・346
344c	缶	6・16・2346
344d	翰	456・356・136
344e	肝	456・16・126
344f	艦	456・16・1346
3450	莞	456・356・146
3451	観	456・16・123
3452	諌	6・16・246
3453	貫	456・16・1345
3454	還	456・16・136
3455	鑑	456・356・16
3456	間	456・16・1
3457	閑	6・16・16
3458	関	456・16・12456
3459	陥	6・16・24
345a	韓	456・356・13
345b	館	456・16・134
345c	舘	6・16・245
345d	丸	456・2・1356
345e	含	456・2・1346
345f	岸	456・2・126
3460	巌	235・456・2・34
3461	玩	456・2・24
3462	癌	456・2・34
3463	眼	456・2・13
3464	岩	456・2・12
3465	翫	456・2・136
3466	贋	456・2・1245
3467	雁	235・456・2・13
3468	頑	456・2・15
3469	顔	456・2・16
346a	願	456・2・1234
346b	企	56・126・146
346c	伎	256・126・123
346d	危	56・126・1
346e	喜	56・126・345
346f	器	56・126・14
3470	基	56・126・23456
3471	奇	56・126・15
3472	嬉	56・126・13
3473	寄	256・126・345
3474	岐	56・126・34
3475	希	256・126・136
3476	幾	256・126・12
3477	忌	256・126・246
3478	揮	56・126・124
3479	机	56・126・1345
347a	旗	56・126・136
347b	既	56・126・1456
347c	期	56・126・145
347d	棋	256・126・126
347e	棄	256・126・23456
3521	機	56・126・126
3522	帰	56・126・16
3523	毅	256・126・1356
3524	気	56・126・3
3525	汽	256・126・156
3526	畿	56・126・135
3527	祈	56・126・234
3528	季	56・126・246
3529	稀	256・126・234
352a	紀	56・126・12
352b	徽	256・126・2345
352c	規	56・126・123
352d	記	56・126・1256
352e	貴	56・126・2345
352f	起	56・126・24
3530	軌	56・126・346
3531	輝	256・126・16
3532	飢	256・126・14
3533	騎	56・126・1356
3534	鬼	256・126・24
3535	亀	56・126・123456
3536	偽	26・23・12
3537	儀	26・23・123
3538	妓	26・23・24
3539	宜	256・23・14
353a	戯	26・23・135
353b	技	26・23・124
353c	擬	256・23・124
353d	欺	26・23・1
353e	犠	256・23・1
353f	疑	26・23・14
3540	祇	26・23・1256
3541	義	26・23・1236
3542	蟻	26・23・13456
3543	誼	256・23・13
3544	議	26・23・13
3545	掬	256・12356・124
3546	菊	256・12356・146
3547	鞠	256・12356・3
3548	吉	26・126・1235
3549	吃	235・26・126・245
354a	喫	26・126・245
354b	桔	26・126・23456
354c	橘	26・126・126
354d	詰	26・126・1345
354e	砧	456・1235・12
354f	杵	6・2456・23456
3550	黍	6・2456・126
3551	却	6・126・134
3552	客	6・126・14
3553	脚	6・126・1
3554	虐	6・56・1256
3555	逆	6・56・156
3556	丘	256・146・24
3557	久	6・146・1236
3558	仇	6・146・123
3559	休	6・146・34
355a	及	6・146・24
355b	吸	6・146・1456
355c	宮	6・146・12356
355d	弓	6・146・346
355e	急	6・146・12
355f	救	256・146・1456
3560	朽	6・146・146
3561	求	6・146・23456
3562	汲	6・146・156
3563	泣	6・146・13
3564	灸	6・146・16
3565	球	6・146・135
3566	究	6・146・126
3567	窮	256・146・126
3568	笈	256・146・135
3569	級	256・146・12
356a	糾	256・146・2345
356b	給	6・146・2345
356c	旧	256・146・1236
356d	牛	6・25・14
356e	去	6・246・156
356f	居	6・246・12
3570	巨	6・246・136
3571	拒	6・246・246
3572	拠	6・246・124
3573	挙	6・246・1
3574	渠	235・6・246・156
3575	虚	6・246・2345
3576	許	6・246・346
3577	距	6・246・3
3578	鋸	6・246・16
3579	漁	6・35・1456
357a	禦	6・35・1256
357b	魚	6・35・156
357c	亨	46・126・12346
357d	享	26・345・13
357e	京	46・126・13
3621	供	46・126・123
3622	侠	26・345・123
3623	僑	235・46・126・123
3624	兇	26・345・1236
3625	競	46・126・126
3626	共	46・126・2345
3627	凶	46・126・1
3628	協	46・126・245
3629	匡	46・126・246
362a	卿	26・345・134
362b	叫	26・345・156
362c	喬	235・46・126・245
362d	境	46・126・156
362e	峡	46・126・34
362f	強	46・126・1345
3630	彊	46・126・346
3631	怯	46・126・125
3632	恐	46・126・2456
3633	恭	46・126・14
3634	挟	26・345・136
3635	教	46・126・24
3636	橋	46・126・136
3637	況	46・126・1456
3638	狂	46・126・146
3639	狭	46・126・12456
363a	矯	46・126・135
363b	胸	46・126・13456
363c	脅	26・345・24
363d	興	6・234・24
363e	蕎	26・345・146
363f	郷	46・126・134
3640	鏡	46・126・16
3641	響	46・126・1236
3642	饗	26・345・135
3643	驚	26・345・245
3644	仰	46・23・24
3645	凝	46・23・246
3646	尭	46・23・1235
3647	暁	46・23・1
3648	業	46・23・3
3649	局	6・1246・1234
364a	曲	6・1246・1356
364b	極	6・1246・126
364c	玉	6・235・135
364d	桐	46・6・126
364e	粁	456・12456・246
364f	僅	456・126・123
3650	勤	456・126・1345
3651	均	456・126・1
3652	巾	456・126・136
3653	錦	456・126・1234
3654	斤	456・126・24
3655	欣	456・126・1246
3656	欽	235・456・126・1246
3657	琴	456・126・246
3658	禁	456・126・1256
3659	禽	456・126・13456
365a	筋	456・126・1456
365b	緊	456・126・12
365c	芹	456・126・12456
365d	菌	456・126・146
365e	衿	456・126・2456
365f	襟	456・126・124
3660	謹	456・126・13
3661	近	456・126・1235
3662	金	456・126・16
3663	吟	456・23・245
3664	銀	456・23・16
3665	九	5・3456・24
3666	倶	56・146・123
3667	句	56・146・245
3668	区	56・146・136
3669	狗	56・146・1246
366a	玖	56・146・24
366b	矩	56・146・34
366c	苦	56・146・146
366d	躯	56・146・12356
366e	駆	56・146・16
366f	駈	56・146・14
3670	駒	56・146・1356
3671	具	56・25・136
3672	愚	56・25・24
3673	虞	56・25・2345
3674	喰	6・12456・146
3675	空	46・146・2456
3676	偶	46・25・123
3677	寓	46・25・14
3678	遇	46・25・136
3679	隅	46・25・1456
367a	串	456・1345・13
367b	櫛	235・26・12456・126
367c	釧	456・1345・1234
367d	屑	26・12456・1234
367e	屈	26・146・1234
3721	掘	26・146・2346
3722	窟	26・146・1
3723	沓	6・1234・123
3724	靴	26・356・146
3725	轡	235・256・1236・2345
3726	窪	6・1・156
3727	熊	46・346・3
3728	隈	46・3・134
3729	粂	6・146・123456
372a	栗	26・125・126
372b	繰	46・14・146
372c	桑	46・14・3
372d	鍬	6・346・16
372e	勲	456・146・3
372f	君	456・146・126
3730	薫	456・146・16
3731	訓	456・146・13
3732	群	456・25・13456
3733	軍	456・25・346
3734	郡	456・25・134
3735	卦	235・45・1246・2345
3736	袈	235・45・1246・2456
3737	祁	256・126・123456
3738	係	46・1246・16
3739	傾	46・1246・13456
373a	刑	46・1246・125
373b	兄	46・1246・1
373c	啓	46・1246・245
373d	圭	56・1246・1235
373e	珪	56・1246・24
373f	型	56・1246・135
3740	契	46・1246・1235
3741	形	46・1246・135
3742	径	46・1246・234
3743	恵	46・1246・123456
3744	慶	46・1246・246
3745	慧	56・1246・245
3746	憩	56・1246・246
3747	掲	46・1246・124
3748	携	46・1246・156
3749	敬	46・1246・14
374a	景	46・1246・1236
374b	桂	46・1246・126
374c	渓	56・1246・156
374d	畦	46・1246・1245
374e	稽	56・1246・234
374f	系	56・1246・12
3750	経	46・1246・12
3751	継	46・1246・1345
3752	繋	46・1246・2345
3753	罫	46・1246・345
3754	茎	46・1246・146
3755	荊	56・1246・146
3756	蛍	46・1246・2346
