5462	壟	235・125・245・1345
5463	壯	235・125・14・15
5464	壺	235・1245・246・12
5465	壹	235・15・25・15
5466	壻	235・125・12456・15
5467	壼	235・245・246・15
5468	壽	235・24・256・15
5469	夂	235・24・456・1346
546a	夊	235・1245・1456・1346
546b	夐	235・125・1246・1346
546c	夛	235・24・46・346
546d	梦	235・24・13456・346
546e	夥	235・1245・16・346
546f	夬	235・125・16・24
5470	夭	235・125・345・15
5471	夲	235・245・2346・15
5472	夸	235・1245・246・24
5473	夾	26・345・15
5474	竒	235・1245・126・135
5475	奕	235・145・124・15
5476	奐	235・245・16・15
5477	奎	235・125・1246・15
5478	奚	235・125・1246・24
5479	奘	235・125・2456・15
547a	奢	235・24・156・15
547b	奠	235・245・12345・15
547c	奧	235・125・24・15
547d	奬	235・125・134・15
547e	奩	235・245・1245・15
5521	奸	235・245・16・24
5522	妁	235・24・1256・13
5523	妝	235・125・1256・13
5524	佞	235・125・1234・123
5525	侫	235・125・1234・1236
5526	妣	235・145・1236・24
5527	妲	235・15・4・24
5528	姆	235・1245・56・24
5529	姨	235・24・12・24
552a	姜	235・125・126・24
552b	妍	235・245・1246・24
552c	姙	235・245・123・24
552d	姚	235・125・345・24
552e	娥	235・1245・2・24
552f	娟	235・245・1246・13
5530	娑	235・24・156・24
5531	娜	235・1245・4・24
5532	娉	235・125・12346・24
5533	娚	235・245・13・24
5534	婀	235・24・1・24
5535	婬	235・245・12・24
5536	婉	235・245・124・24
5537	娵	235・24・1456・24
5538	娶	235・24・346・24
5539	婢	235・145・1236・13
553a	婪	235・245・15・24
553b	媚	235・145・3456・24
553c	媼	235・125・24・24
553d	媾	235・125・246・24
553e	嫋	235・125・236・13
553f	嫂	235・125・2456・24
5540	媽	235・1245・56・13
5541	嫣	235・245・124・13
5542	嫗	235・125・24・13
5543	嫦	235・125・246・13
5544	嫩	235・245・6・24
5545	嫖	235・125・1236・24
5546	嫺	235・245・356・24
5547	嫻	235・24・16・13
5548	嬌	235・125・126・13
5549	嬋	235・245・12456・24
554a	嬖	235・125・12346・13
554b	嬲	235・245・345・24
554c	嫐	235・125・6・24
554d	嬪	235・245・1236・24
554e	嬶	235・145・3456・13
554f	嬾	235・245・15・13
5550	孃	235・125・236・24
5551	孅	235・245・12456・13
5552	孀	235・125・14・24
5553	孑	235・15・235・246
5554	孕	6・345・246
5555	孚	235・125・13456・246
5556	孛	235・15・56・246
5557	孥	235・15・6・246
5558	孩	235・125・2・246
5559	孰	235・145・256・246
555a	孳	235・1245・236・246
555b	孵	235・125・13456・1256
555c	學	235・145・2・246
555d	斈	235・145・2・1346
555e	孺	235・24・256・246
555f	宀	235・245・456・14
5560	它	235・24・46・14
5561	宦	235・245・16・14
5562	宸	235・245・1256・14
5563	寃	235・245・124・14
5564	寇	235・125・246・14
5565	寉	235・145・246・14
5566	寔	235・24・12456・14
5567	寐	235・145・3456・14
5568	寤	235・1245・35・14
5569	實	235・15・236・14
556a	寢	235・245・1256・16
556b	寞	235・145・46・14
556c	寥	235・125・125・14
556d	寫	235・24・156・14
556e	寰	235・245・16・16
556f	寶	235・145・234・14
5570	寳	235・145・234・16
5571	尅	256・246・3
5572	將	235・125・1256・3
5573	專	235・2345・12456・3
5574	對	235・125・135・3
5575	尓	235・1245・236・1235
5576	尠	235・245・12456・1235
5577	尢	235・125・24・1
5578	尨	235・125・56・1
5579	尸	235・1245・1256・1234
557a	尹	456・12・1234
557b	屁	235・145・1236・1234
557c	屆	235・125・16・1234
557d	屎	235・15・134・1234
557e	屓	235・1245・126・1234
5621	屐	235・145・235・1234
5622	屏	46・12346・1234
5623	孱	235・245・12456・1256
5624	屬	235・145・356・1234
5625	屮	235・125・2456・1
5626	乢	235・125・2・3
5627	屶	235・125・2345・34
5628	屹	235・15・126・34
5629	岌	235・24・146・34
562a	岑	235・245・1256・34
562b	岔	235・245・13456・34
562c	妛	235・1245・1256・34
562d	岫	235・24・346・34
562e	岻	235・1245・236・34
562f	岶	235・145・136・34
5630	岼	235・125・12346・34
5631	岷	235・245・3456・34
5632	峅	235・245・456・34
5633	岾	235・245・12456・1356
5634	峇	235・125・246・34
5635	峙	235・1245・236・1356
5636	峩	235・1245・2・34
5637	峽	235・125・126・34
5638	峺	235・24・234・34
5639	峭	235・125・1256・34
563a	嶌	235・125・2345・1356
563b	峪	235・145・345・34
563c	崋	235・1245・16・34
563d	崕	235・125・2・34
563e	崗	235・15・234・34
563f	嵜	235・1245・126・34
5640	崟	235・245・23・34
5641	崛	235・15・146・34
5642	崑	456・246・146
5643	崔	235・125・156・1356
5644	崢	235・125・2456・34
5645	崚	235・125・125・34
5646	崙	456・245・34
5647	崘	235・245・245・1356
5648	嵌	6・16・34
5649	嵒	235・245・2・1356
564a	嵎	235・125・25・34
564b	嵋	235・145・3456・34
564c	嵬	235・125・16・34
564d	嵳	235・1245・156・34
564e	嵶	235・145・26・34
564f	嶇	235・1245・146・34
5650	嶄	235・245・26・34
5651	嶂	235・125・134・34
5652	嶢	235・125・23・34
5653	嶝	235・24・1234・34
5654	嶬	235・15・23・34
5655	嶮	235・245・1246・34
5656	嶽	235・145・2・34
5657	嶐	235・24・145・34
5658	嶷	235・15・23・1356
5659	嶼	235・24・2456・34
565a	巉	235・245・26・1356
565b	巍	235・145・23・34
565c	巓	456・12345・1356
565d	巒	235・245・15・34
565e	巖	235・245・2・34
565f	巛	235・245・12456・16
5660	巫	235・125・13456・3
5661	已	235・125・12・24
5662	巵	235・1245・1256・24
5663	帋	235・1245・1256・136
5664	帚	235・125・2456・126
5665	帙	235・15・1235・136
5666	帑	235・15・6・136
5667	帛	235・145・136・136
5668	帶	235・125・135・136
5669	帷	235・24・12・136
566a	幄	235・145・1・136
566b	幃	235・24・12・126
566c	幀	235・125・12345・136
566d	幎	235・245・456・136
566e	幗	235・145・16・136
566f	幔	235・245・1356・136
5670	幟	235・1245・1256・126
5671	幢	235・125・2345・136
5672	幤	235・1245・12346・136
5673	幇	235・145・234・126
5674	幵	235・245・1246・2346
5675	并	235・125・12346・2346
5676	幺	235・125・345・2345
5677	麼	235・1245・46・1
5678	广	235・245・235・1234
5679	庠	235・125・1256・1234
567a	廁	235・1245・1256・1356
567b	廂	235・125・1256・1356
567c	廈	235・1245・16・1356
567d	廐	235・24・146・1234
567e	廏	235・24・146・1356
5721	廖	235・125・125・1356
5722	廣	235・24・234・1356
5723	廝	235・15・134・1356
5724	廚	235・24・1345・1356
5725	廛	235・245・12345・1234
5726	廢	235・145・13・1234
5727	廡	235・1245・45・1234
5728	廨	235・1235・16・1234
5729	廩	235・245・125・1234
572a	廬	235・15・245・1356
572b	廱	235・125・345・1356
572c	廳	235・125・1235・1234
572d	廰	235・125・1235・1356
572e	廴	235・245・12・1
572f	廸	235・145・12345・1
5730	廾	235・125・126・1256
5731	弃	235・145・126・2345
5732	弉	235・125・2456・1256
5733	彝	235・24・12・345
5734	彜	235・24・12・1246
5735	弋	235・145・345・3
5736	弑	235・1245・1256・3
5737	弖	235・15・25・346
5738	弩	235・15・6・346
5739	弭	235・145・3456・1236
573a	弸	235・145・234・346
573b	彁	235・1245・356・346
573c	彈	235・245・4・1236
573d	彌	235・145・3456・346
573e	彎	235・245・3・346
573f	弯	235・245・3・1236
5740	彑	235・125・1246・345
5741	彖	235・245・135・345
5742	彗	235・1245・1456・345
5743	彙	235・125・12・345
5744	彡	235・245・156・1345
5745	彭	26・2346・156
5746	彳	235・145・12345・234
5747	彷	235・145・234・234
5748	徃	235・125・24・234
5749	徂	235・1245・456・234
574a	彿	235・15・1346・234
574b	徊	235・1235・16・123
574c	很	235・245・246・234
574d	徑	235・125・1246・234
574e	徇	235・245・256・234
574f	從	235・245・346・234
5750	徙	235・1245・1256・234
5751	徘	235・145・13・234
5752	徠	235・125・15・234
5753	徨	235・125・246・123
5754	徭	235・24・345・234
5755	徼	235・15・345・234
5756	忖	235・245・2456・125
5757	忻	235・245・126・125
5758	忤	235・1245・35・125
5759	忸	235・145・236・125
575a	忱	235・245・1256・125
575b	忝	235・245・12345・246
575c	悳	235・145・2345・246
575d	忿	235・245・13456・246
575e	怡	235・24・12・125
575f	恠	235・125・16・125
5760	怙	235・12345・246・125
5761	怐	235・24・234・125
5762	怩	235・1245・236・125
5763	怎	235・1245・456・246
5764	怱	235・125・2456・246
5765	怛	235・15・4・125
5766	怕	235・24・13・125
5767	怫	235・15・1346・125
5768	怦	235・145・234・125
5769	怏	235・125・24・1256
576a	怺	235・125・124・125
576b	恚	235・24・12・246
576c	恁	235・245・236・245
576d	恪	235・145・16・1256
576e	恷	235・24・146・246
576f	恟	235・15・345・125
5770	恊	235・15・345・1256
5771	恆	235・125・246・125
5772	恍	235・15・234・125
5773	恣	235・1245・1256・246
5774	恃	235・1245・236・1256
5775	恤	235・15・256・125
5776	恂	235・245・256・125
5777	恬	235・245・12345・125
5778	恫	235・125・6・125
5779	恙	235・125・345・246
577a	悁	235・245・124・125
577b	悍	235・24・16・125
577c	惧	235・1245・146・125
577d	悃	235・245・246・125
577e	悚	235・125・1256・125
5821	悄	235・125・1256・1256
5822	悛	235・245・1456・125
5823	悖	235・145・13・125
